date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_spread,home_spread_price,home_spread_open,away_spread,away_spread_open,away_spread_price,total_open,total_open_price,total_close,total_close_price
2017-09-07,2017,451,NE,KC,27,42,,-480.0,,371.0,-8.0,-110.0,-7.0,8.0,7.0,-110.0,48.0,,47.5,
2017-09-10,2017,453,BUF,NYJ,21,12,,-400.0,,317.0,-7.0,-110.0,-6.0,7.0,6.0,-110.0,43.0,,42.0,
2017-09-10,2017,455,CHI,ATL,17,23,,259.0,,-319.0,6.5,-110.0,7.0,-6.5,-7.0,-110.0,50.5,,48.0,
2017-09-10,2017,457,HOU,JAX,7,29,,-250.0,,207.0,-6.0,-110.0,-4.5,6.0,4.5,-110.0,42.0,,38.0,
2017-09-10,2017,459,WAS,PHI,17,30,,110.0,,-130.0,2.0,-110.0,48.5,-2.0,-48.5,-110.0,3.0,,49.0,
2017-09-10,2017,461,DET,ARI,35,23,,110.0,,-130.0,2.0,-110.0,48.0,-2.0,-48.0,-110.0,2.5,,48.5,
2017-09-10,2017,463,TEN,LV,16,26,,-140.0,,120.0,-3.0,-110.0,-51.5,3.0,51.5,-110.0,1.5,,50.5,
2017-09-10,2017,467,CIN,BAL,0,20,,-150.0,,130.0,-2.5,-110.0,-2.0,2.5,2.0,-110.0,42.5,,41.5,
2017-09-10,2017,469,CLE,PIT,18,21,,384.0,,-500.0,10.0,-110.0,9.5,-10.0,-9.5,-110.0,47.5,,47.5,
2017-09-10,2017,471,LAR,IND,46,9,,-190.0,,163.0,-3.5,-110.0,-47.0,3.5,47.0,-110.0,3.0,,41.5,
2017-09-10,2017,473,GB,SEA,17,9,,-145.0,,125.0,-2.5,-110.0,-3.0,2.5,3.0,-110.0,49.0,,50.0,
2017-09-10,2017,475,SF,CAR,3,23,,192.0,,-230.0,4.0,-110.0,3.5,-4.0,-3.5,-110.0,48.0,,44.5,
2017-09-10,2017,477,DAL,NYG,19,3,,-281.0,,231.0,-6.0,-110.0,-6.5,6.0,6.5,-110.0,49.0,,46.0,
2017-09-11,2017,479,MIN,NO,29,19,,-181.0,,156.0,-3.0,-110.0,-3.5,3.0,3.5,-110.0,47.5,,47.5,
2017-09-11,2017,481,DEN,LAC,24,21,,-144.0,,124.0,-3.0,-110.0,-3.5,3.0,3.5,-110.0,44.0,,41.5,
2017-09-14,2017,101,CIN,HOU,9,13,,-240.0,,199.0,-5.0,-110.0,-3.0,5.0,3.0,-110.0,38.5,,38.5,
2017-09-17,2017,261,JAX,TEN,16,37,,105.0,,-125.0,1.0,-110.0,0.0,-1.0,-0.0,-110.0,43.5,,41.0,
2017-09-17,2017,263,BAL,CLE,24,10,,-375.0,,299.0,-7.5,-110.0,-7.0,7.5,7.0,-110.0,41.0,,39.5,
2017-09-17,2017,265,CAR,BUF,9,3,,-261.0,,216.0,-6.0,-110.0,-7.0,6.0,7.0,-110.0,42.5,,43.5,
2017-09-17,2017,267,NO,NE,20,36,,216.0,,-263.0,5.5,-110.0,4.5,-5.5,-4.5,-110.0,54.0,,54.5,
2017-09-17,2017,269,IND,ARI,13,16,,252.0,,-310.0,6.5,-110.0,7.5,-6.5,-7.5,-110.0,44.5,,44.0,
2017-09-17,2017,271,KC,PHI,27,20,,-200.0,,170.0,-4.0,-110.0,-4.5,4.0,4.5,-110.0,47.5,,46.5,
2017-09-17,2017,273,PIT,MIN,26,9,,-370.0,,296.0,-8.0,-110.0,-7.0,8.0,7.0,-110.0,45.5,,43.5,
2017-09-17,2017,275,TB,CHI,29,7,,-305.0,,249.0,-7.0,-110.0,-6.0,7.0,6.0,-110.0,43.0,,44.0,
2017-09-17,2017,277,LAC,MIA,17,19,,-195.0,,166.0,-3.5,-110.0,-5.0,3.5,5.0,-110.0,45.5,,46.0,
2017-09-17,2017,279,LV,NYJ,45,20,,-1000.0,,664.0,-14.0,-110.0,-13.5,14.0,13.5,-110.0,43.5,,43.5,
2017-09-17,2017,281,LAR,WAS,20,27,,-150.0,,130.0,-3.0,-110.0,-2.5,3.0,2.5,-110.0,46.0,,46.5,
2017-09-17,2017,283,DEN,DAL,42,17,,121.0,,-141.0,2.5,-110.0,1.5,-2.5,-1.5,-110.0,42.5,,43.5,
2017-09-17,2017,285,SEA,SF,12,9,,-1002.0,,665.0,-13.5,-110.0,-13.0,13.5,13.0,-110.0,43.5,,41.0,
2017-09-17,2017,287,ATL,GB,34,23,,-180.0,,156.0,-3.0,-110.0,-3.0,3.0,3.0,-110.0,53.5,,54.5,
2017-09-18,2017,289,NYG,DET,10,24,,-170.0,,148.0,-3.0,-110.0,-4.5,3.0,4.5,-110.0,43.5,,42.5,
2017-09-21,2017,301,SF,LAR,39,41,,128.0,,-148.0,3.0,-110.0,2.5,-3.0,-2.5,-110.0,42.0,,40.5,
2017-09-24,2017,461,JAX,BAL,44,7,,150.0,,-180.0,3.0,-110.0,4.0,-3.0,-4.0,-110.0,40.5,,38.0,
2017-09-24,2017,463,IND,CLE,31,28,,100.0,,-120.0,1.0,-110.0,2.5,-1.0,-2.5,-110.0,41.0,,42.5,
2017-09-24,2017,465,CHI,PIT,23,17,,275.0,,-350.0,7.0,-110.0,8.0,-7.0,-8.0,-110.0,46.0,,43.5,
2017-09-24,2017,467,NYJ,MIA,20,6,,200.0,,-250.0,5.5,-110.0,6.5,-5.5,-6.5,-110.0,41.0,,43.0,
2017-09-24,2017,469,BUF,DEN,26,16,,160.0,,-190.0,3.5,-110.0,1.0,-3.5,-1.0,-110.0,41.0,,39.5,
2017-09-24,2017,471,NE,HOU,36,33,,-1400.0,,800.0,-13.5,-110.0,-12.0,13.5,12.0,-110.0,44.0,,44.5,
2017-09-24,2017,473,CAR,NO,13,34,,-260.0,,210.0,-5.5,-110.0,-6.0,5.5,6.0,-110.0,49.0,,46.5,
2017-09-24,2017,475,MIN,TB,34,17,,-110.0,,-110.0,41.0,-110.0,40.5,-41.0,-40.5,-110.0,1.5,,0.0,
2017-09-24,2017,477,DET,ATL,26,30,,140.0,,-160.0,3.0,-110.0,3.0,-3.0,-3.0,-110.0,49.0,,51.0,
2017-09-24,2017,479,PHI,NYG,27,24,,-240.0,,190.0,-5.0,-110.0,-5.5,5.0,5.5,-110.0,43.0,,42.5,
2017-09-24,2017,481,TEN,SEA,33,27,,-130.0,,110.0,-2.0,-110.0,-1.0,2.0,1.0,-110.0,44.0,,41.0,
2017-09-24,2017,483,LAC,KC,10,24,,130.0,,-150.0,3.0,-110.0,3.5,-3.0,-3.5,-110.0,45.5,,48.0,
2017-09-24,2017,485,GB,CIN,27,24,,-400.0,,300.0,-7.0,-110.0,-9.0,7.0,9.0,-110.0,45.5,,48.0,
2017-09-24,2017,487,WAS,LV,27,10,,170.0,,-200.0,3.5,-110.0,3.5,-3.5,-3.5,-110.0,53.5,,53.5,
2017-09-25,2017,489,ARI,DAL,17,28,,135.0,,-155.0,3.0,-110.0,3.5,-3.0,-3.5,-110.0,47.5,,46.5,
2017-09-28,2017,101,GB,CHI,35,14,,-400.0,,317.0,-7.0,-110.0,-7.5,7.0,7.5,-110.0,45.5,,44.5,
2017-10-01,2017,251,MIA,NO,0,20,,175.0,,-210.0,4.0,-110.0,2.0,-4.0,-2.0,-110.0,50.0,,52.0,
2017-10-01,2017,253,NE,CAR,30,33,,-550.0,,400.0,-9.5,-110.0,-8.0,9.5,8.0,-110.0,47.0,,48.0,
2017-10-01,2017,255,DAL,LAR,30,35,,-260.0,,210.0,-5.5,-110.0,-8.0,5.5,8.0,-110.0,46.0,,50.5,
2017-10-01,2017,257,MIN,DET,7,14,,-150.0,,130.0,-2.5,-110.0,-1.0,2.5,1.0,-110.0,43.5,,43.0,
2017-10-01,2017,259,HOU,TEN,57,14,,120.0,,-140.0,2.5,-110.0,1.0,-2.5,-1.0,-110.0,44.0,,43.5,
2017-10-01,2017,261,NYJ,JAX,23,20,,185.0,,-230.0,4.5,-110.0,3.5,-4.5,-3.5,-110.0,40.0,,38.5,
2017-10-01,2017,263,CLE,CIN,7,31,,155.0,,-185.0,3.0,-110.0,4.0,-3.0,-4.0,-110.0,40.0,,41.5,
2017-10-01,2017,265,BAL,PIT,9,26,,160.0,,-190.0,3.5,-110.0,2.0,-3.5,-2.0,-110.0,45.0,,42.0,
2017-10-01,2017,267,ATL,BUF,17,23,,-440.0,,340.0,-9.0,-110.0,-8.0,9.0,8.0,-110.0,49.0,,48.0,
2017-10-01,2017,269,TB,NYG,25,23,,-140.0,,120.0,-2.5,-110.0,-4.0,2.5,4.0,-110.0,43.5,,45.5,
2017-10-01,2017,271,LAC,PHI,24,26,,-130.0,,110.0,-2.0,-110.0,-1.0,2.0,1.0,-110.0,46.5,,48.0,
2017-10-01,2017,273,ARI,SF,18,15,,-280.0,,230.0,-6.5,-110.0,-7.0,6.5,7.0,-110.0,44.5,,43.5,
2017-10-01,2017,275,DEN,LV,16,10,,-210.0,,175.0,-4.0,-110.0,-2.5,4.0,2.5,-110.0,47.0,,44.0,
2017-10-01,2017,277,SEA,IND,46,18,,-1000.0,,650.0,-12.5,-110.0,-13.0,12.5,13.0,-110.0,41.0,,41.5,
2017-10-02,2017,279,KC,WAS,29,20,,-295.0,,241.0,-6.5,-110.0,-7.0,6.5,7.0,-110.0,49.0,,47.5,
2017-10-05,2017,303,TB,NE,14,19,,165.0,,-193.0,3.5,-110.0,4.0,-3.5,-4.0,-110.0,54.0,,54.5,
2017-10-08,2017,451,NYG,LAC,22,27,,-180.0,,150.0,-3.0,-110.0,-3.0,3.0,3.0,-110.0,43.5,,45.5,
2017-10-08,2017,453,CIN,BUF,20,16,,-170.0,,145.0,-3.0,-110.0,-1.0,3.0,1.0,-110.0,38.5,,39.0,
2017-10-08,2017,455,CLE,NYJ,14,17,,105.0,,-125.0,1.5,-110.0,39.5,-1.5,-39.5,-110.0,1.0,,41.0,
2017-10-08,2017,457,PIT,JAX,9,30,,-360.0,,280.0,-7.0,-110.0,-8.5,7.0,8.5,-110.0,44.5,,41.5,
2017-10-08,2017,459,MIA,TEN,16,10,,-120.0,,100.0,-1.0,-110.0,-43.5,1.0,43.5,-110.0,3.0,,41.5,
