date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_spread,home_spread_price,away_spread,away_spread_price,total_open,total_open_price,total_close,total_close_price
2019-09-05,2019,451,CHI,GB,3,10,,-160.0,,140.0,,,,,46.0,,46.5,
2019-09-08,2019,453,MIN,ATL,28,12,,-190.0,,160.0,,,,,47.5,,46.5,
2019-09-08,2019,455,PHI,WAS,32,27,,-600.0,,425.0,,,,,46.5,,44.0,
2019-09-08,2019,457,NYJ,BUF,16,17,,-140.0,,120.0,,,,,38.5,,41.0,
2019-09-08,2019,459,MIA,BAL,10,59,,280.0,,-360.0,,,,,3.5,,7.0,
2019-09-08,2019,461,TB,SF,17,31,,-120.0,,100.0,,,,,48.5,,51.0,
2019-09-08,2019,463,JAX,KC,26,40,,160.0,,-190.0,,,,,5.0,,3.5,
2019-09-08,2019,465,CLE,TEN,13,43,,-265.0,,215.0,,,,,45.0,,44.0,
2019-09-08,2019,467,CAR,LAR,27,30,,105.0,,-125.0,,,,,3.0,,1.5,
2019-09-08,2019,469,ARI,DET,27,27,,130.0,,-150.0,,,,,48.5,,3.0,
2019-09-08,2019,471,SEA,CIN,21,20,,-500.0,,375.0,,,,,43.5,,44.5,
2019-09-08,2019,473,LAC,IND,30,24,,-300.0,,240.0,,,,,48.0,,44.5,
2019-09-08,2019,475,DAL,NYG,35,17,,-340.0,,270.0,,,,,46.0,,44.5,
2019-09-08,2019,477,NE,PIT,33,3,,-265.0,,215.0,,,,,51.5,,49.0,
2019-09-09,2019,479,NO,HOU,30,28,,-330.0,,260.0,,,,,54.0,,52.0,
2019-09-09,2019,481,LV,DEN,24,16,,135.0,,-155.0,,,,,43.0,,3.0,
2019-09-12,2019,101,CAR,TB,14,20,,-290.0,,235.0,,,,,51.0,,48.0,
2019-09-15,2019,261,TEN,IND,17,19,,-180.0,,150.0,,,,,44.0,,43.5,
2019-09-15,2019,263,DET,LAC,13,10,,-110.0,,-110.0,,,,,3.0,,46.5,
2019-09-15,2019,265,NYG,BUF,14,28,,100.0,,-120.0,,,,,43.0,,1.0,
2019-09-15,2019,267,BAL,ARI,23,17,,-800.0,,550.0,,,,,41.5,,46.0,
2019-09-15,2019,269,MIA,NE,0,43,,1100.0,,-2500.0,,,,,15.0,,18.5,
2019-09-15,2019,271,WAS,DAL,21,31,,215.0,,-265.0,,,,,4.5,,6.0,
2019-09-15,2019,273,HOU,JAX,13,12,,-360.0,,280.0,,,,,45.0,,43.0,
2019-09-15,2019,275,PIT,SEA,26,28,,-220.0,,180.0,,,,,46.5,,47.0,
2019-09-15,2019,277,CIN,SF,17,41,,-110.0,,-110.0,,,,,1.0,,46.5,
2019-09-15,2019,279,GB,MIN,21,16,,-160.0,,140.0,,,,,46.0,,43.5,
2019-09-15,2019,281,LV,KC,10,28,,250.0,,-310.0,,,,,8.0,,7.0,
2019-09-15,2019,283,LAR,NO,27,9,,-125.0,,105.0,,,,,54.0,,52.5,
2019-09-15,2019,285,DEN,CHI,14,16,,130.0,,-150.0,,,,,2.0,,3.0,
2019-09-15,2019,287,ATL,PHI,24,20,,100.0,,-120.0,,,,,51.0,,1.0,
2019-09-16,2019,289,NYJ,CLE,3,23,,260.0,,-330.0,,,,,2.5,,6.5,
2019-09-19,2019,301,JAX,TEN,20,7,,105.0,,-125.0,,,,,2.5,,1.5,
2019-09-22,2019,461,GB,DEN,27,16,,-380.0,,290.0,,,,,43.5,,41.0,
2019-09-22,2019,463,PHI,DET,24,27,,-220.0,,180.0,,,,,49.5,,44.5,
2019-09-22,2019,465,KC,BAL,33,28,,-230.0,,185.0,,,,,51.5,,52.0,
2019-09-22,2019,467,BUF,CIN,21,17,,-260.0,,210.0,,,,,40.5,,43.0,
2019-09-22,2019,469,IND,ATL,27,24,,-125.0,,105.0,,,,,48.0,,48.0,
