date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_puckline,home_puckline_price,away_puckline,away_puckline_price,total_open,total_open_price,total_close,total_close_price
2019-10-02,2019,1,TOR,OTT,5,3,-300.0,-310.0,245.0,270.0,-1.5,-125.0,1.5,105.0,6.0,-110.0,6.5,-115.0
2019-10-02,2019,3,STL,WSH,2,3,-135.0,-150.0,115.0,135.0,-1.5,185.0,1.5,-210.0,5.5,-110.0,5.5,-110.0
2019-10-02,2019,5,EDM,VAN,3,2,-125.0,-126.0,105.0,116.0,-1.5,195.0,1.5,-220.0,5.5,-110.0,5.5,-115.0
2019-10-02,2019,7,VGK,SJS,4,1,-175.0,-190.0,151.0,170.0,-1.5,140.0,1.5,-160.0,6.0,-110.0,6.5,-120.0
2019-10-03,2019,9,TBL,FLA,5,2,-185.0,-175.0,160.0,157.0,-1.5,150.0,1.5,-170.0,6.5,-110.0,6.5,-105.0
2019-10-03,2019,11,CAR,MTL,4,3,-155.0,-155.0,135.0,140.0,-1.5,165.0,1.5,-185.0,5.5,-110.0,6.0,100.0
2019-10-03,2019,13,NYR,WPG,6,4,-130.0,-112.0,110.0,102.0,-1.5,220.0,1.5,-250.0,6.0,-110.0,6.0,-125.0
2019-10-03,2019,15,PIT,BUF,1,3,-170.0,-185.0,148.0,165.0,-1.5,140.0,1.5,-160.0,6.5,-110.0,6.5,100.0
2019-10-03,2019,17,NSH,MIN,5,2,-180.0,-165.0,155.0,150.0,-1.5,170.0,1.5,-190.0,5.5,-110.0,5.5,110.0
2019-10-03,2019,19,DAL,BOS,1,2,-110.0,-105.0,-110.0,-105.0,1.5,-290.0,-1.5,245.0,5.5,-110.0,5.5,105.0
2019-10-03,2019,21,COL,CGY,5,3,-135.0,-120.0,115.0,110.0,-1.5,210.0,1.5,-240.0,6.0,-110.0,6.5,-110.0
2019-10-03,2019,23,ANA,ARI,2,1,-120.0,-108.0,100.0,-102.0,-1.5,230.0,1.5,-260.0,5.5,-110.0,5.5,115.0
2019-10-04,2019,25,PHI,CHI,4,3,-115.0,-117.0,-105.0,107.0,-1.5,210.0,1.5,-240.0,6.5,-110.0,6.5,-110.0
2019-10-04,2019,27,CBJ,TOR,1,4,125.0,135.0,-145.0,-150.0,1.5,-190.0,-1.5,170.0,6.5,-110.0,6.5,-120.0
2019-10-04,2019,29,NYI,WSH,1,2,-130.0,-120.0,110.0,110.0,-1.5,220.0,1.5,-250.0,6.0,-110.0,5.5,-110.0
2019-10-04,2019,31,NJD,WPG,4,5,-143.0,-145.0,123.0,132.0,-1.5,175.0,1.5,-200.0,6.5,-110.0,6.5,-115.0
2019-10-04,2019,33,SJS,VGK,1,5,103.0,110.0,-123.0,-120.0,1.5,-215.0,-1.5,190.0,6.5,-110.0,6.5,-105.0
2019-10-05,2019,51,OTT,NYR,1,4,110.0,118.0,-130.0,-128.0,1.5,-230.0,-1.5,200.0,6.5,-110.0,6.5,-120.0
2019-10-05,2019,53,BUF,NJD,7,2,-133.0,-115.0,113.0,105.0,-1.5,230.0,1.5,-260.0,6.5,-110.0,5.5,-120.0
2019-10-05,2019,55,FLA,TBL,4,3,-115.0,115.0,-105.0,-125.0,1.5,-230.0,-1.5,200.0,6.5,-110.0,6.5,-120.0
2019-10-05,2019,57,WSH,CAR,2,3,-130.0,-115.0,110.0,105.0,-1.5,210.0,1.5,-240.0,6.0,-110.0,6.0,-115.0
2019-10-05,2019,59,TOR,MTL,5,6,-170.0,-155.0,148.0,140.0,-1.5,160.0,1.5,-180.0,6.5,-110.0,6.5,-130.0
